CPU Name,"Apr 13, 2024","Apr 15, 2024","Apr 16, 2024","Apr 17, 2024","Apr 19, 2024","Apr 20, 2023","Apr 22, 2024","Apr 25, 2024","Apr 26, 2024","Apr 27, 2024","Apr 29, 2024","Aug 14, 2024","Aug 20, 2024","Aug 29, 2024","Dec 1, 2024","Dec 10, 2023","Dec 2, 2024","Dec 3, 2023","Dec 3, 2024","Dec 4, 2024","Dec 5, 2024","Dec 6, 2024","Dec 7, 2024","Feb 12, 2022","Feb 21, 2024","Jan 23, 2024","Jan 29, 2024","Jul 13, 2024","Jul 14, 2024","Jul 15, 2024","Jul 18, 2024","Jul 19, 2024","Jul 20, 2024","Jul 21, 2024","Jul 8, 2024","Jun 1, 2024","Jun 17, 2024","Jun 22, 2024","Jun 27, 2024","Jun 7, 2024","Mar 24, 2024","May 1, 2024","May 10, 2024","May 11, 2024","May 14, 2024","May 15, 2024","May 16, 2024","May 17, 2024","May 18, 2024","May 2, 2024","May 20, 2024","May 21, 2024","May 22, 2024","May 23, 2024","May 24, 2024","May 26, 2024","May 27, 2024","May 29, 2024","May 30, 2024","May 31, 2024","May 5, 2024","May 6, 2024","May 7, 2024","May 8, 2024","Nov 1, 2024","Nov 10, 2024","Nov 11, 2024","Nov 12, 2024","Nov 13, 2024","Nov 14, 2024","Nov 15, 2024","Nov 16, 2024","Nov 17, 2024","Nov 18, 2024","Nov 19, 2024","Nov 2, 2024","Nov 20, 2024","Nov 21, 2024","Nov 22, 2024","Nov 23, 2024","Nov 24, 2024","Nov 25, 2024","Nov 26, 2024","Nov 27, 2024","Nov 28, 2024","Nov 29, 2024","Nov 3, 2024","Nov 30, 2024","Nov 4, 2024","Nov 5, 2023","Nov 5, 2024","Nov 6, 2024","Nov 7, 2024","Nov 8, 2024","Nov 9, 2024","Oct 1, 2024","Oct 10, 2024","Oct 11, 2024","Oct 12, 2024","Oct 13, 2024","Oct 14, 2024","Oct 15, 2024","Oct 16, 2024","Oct 17, 2024","Oct 18, 2024","Oct 19, 2024","Oct 2, 2024","Oct 20, 2024","Oct 21, 2024","Oct 22, 2024","Oct 23, 2024","Oct 24, 2024","Oct 25, 2024","Oct 26, 2024","Oct 27, 2024","Oct 28, 2024","Oct 29, 2024","Oct 3, 2024","Oct 30, 2024","Oct 31, 2024","Oct 4, 2024","Oct 5, 2024","Oct 6, 2024","Oct 7, 2024","Oct 8, 2024","Oct 9, 2024","Sep 10, 2024","Sep 11, 2024","Sep 12, 2024","Sep 13, 2024","Sep 14, 2024","Sep 15, 2024","Sep 16, 2024","Sep 17, 2024","Sep 18, 2024","Sep 19, 2024","Sep 20, 2024","Sep 21, 2024","Sep 22, 2024","Sep 23, 2024","Sep 24, 2024","Sep 25, 2024","Sep 26, 2024","Sep 27, 2024","Sep 28, 2024","Sep 29, 2024","Sep 3, 2024","Sep 30, 2024","Sep 8, 2024","Sep 9, 2024"
Radeon RX 7600,,,,,,,,,,,,,,,260.25,,361.77,,265.0,253.24,212.49,229.99,173.75,,,,364.58,,,,,,,,,,,,,,,,,,,,,,,,,,,282.69,,189.99,,,,,,,,,190.75,223.0,,,,244.5,227.49,135.61,189.5,170.54,191.33,198.99,218.33,223.4,,220.0,182.5,188.33,184.99,279.5,151.33,270.49,199.5,205.17,194.12,317.67,202.5,253.5,190.0,,89.99,193.0,219.0,198.75,139.5,217.83,199.17,205.0,160.99,189.99,,210.75,225.18,194.5,237.5,189.99,209.0,245.0,209.5,200.0,113.3,182.5,294.99,228.33,246.25,182.5,183.83,149.5,199.99,196.88,178.83,257.66,206.25,210.43,195.67,196.5,190.0,180.5,195.0,206.0,189.9,299.99,190.0,190.0,143.87,240.09,190.25,240.9,227.49,193.4,244.99,181.75,,,,221.0
Radeon RX 7600 XT,,,,,,,,,,,,,,,287.66,,409.02,,276.66,302.0,,259.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.37,,,,,,,,,,,,265.0,,,,,260.0,71.22,,71.22,,,232.5,345.99,,279.99,275.0,180.0,177.49,398.76,75.0,349.66,,360.0,,,230.0,289.0,,,,,299.99,,78.99,295.0,,,72.99,,,,255.0,,,,,300.0,,,74.11,,294.99,255.0,220.0,,,72.99,,300.0,222.5,285.0,,461.25,,185.5,,,,,124.5,299.99,,,77.99,167.5,,317.24,,250.0,289.99,,,,,
Radeon RX 7700 XT,,,,,,,,,,,,,,,,,369.99,,424.95,,325.0,389.49,,,,,,,,,,,,,,,,,,329.99,,,,,,,,,,,,,,,,,,,,,,,,,399.0,399.0,350.0,399.0,399.0,393.46,399.0,399.0,374.12,,290.0,335.0,397.0,355.0,398.43,,,405.85,,,349.99,359.99,,380.0,199.9,,399.0,318.08,366.5,383.5,375.0,,,,,,,,290.0,353.0,306.67,,,,,,349.99,,439.99,,,,377.5,175.0,340.0,399.99,,,389.99,,339.99,,,,,,360.0,360.0,,,,339.05,349.0,,,,,,,357.5,,,,,,
Radeon RX 7800 XT,,,,,,,,,498.99,,,,,,302.08,,371.6,,363.8,449.0,459.99,433.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.99,,,,,,,,,,,,,,411.67,232.5,486.25,440.0,464.0,,420.0,430.0,290.0,448.8,471.0,350.0,438.13,440.99,361.27,484.99,472.0,247.07,331.89,377.5,454.75,440.69,450.0,391.5,471.66,,444.0,440.0,400.99,400.0,423.75,,443.42,294.5,452.48,359.85,,445.0,,149.0,349.0,419.75,,430.0,,360.0,366.0,455.0,400.0,425.0,428.5,309.98,470.5,445.0,,402.5,424.5,428.33,441.67,470.0,390.0,462.95,410.0,394.67,529.99,432.5,415.0,422.0,434.25,405.39,297.0,,411.0,,413.33,,,,375.18,429.95,,399.5,,405.5,499.99,450.0
Radeon RX 7900 GRE,,,,,,,,,,,,,,,,,523.33,,,460.35,522.13,500.33,,,,,,,,,,626.56,,,,,660.96,,,,,,,,,,,,,,,,,499.0,,,,652.93,,,,,,,,550.0,549.99,500.0,,543.89,,,199.99,,280.0,430.0,,,500.0,,500.0,490.0,,,529.99,500.0,450.0,499.99,477.5,,,624.5,,530.0,,,,229.99,,,489.99,,509.0,,589.48,,,539.99,,500.0,,450.0,,509.0,539.0,527.5,,509.99,,,475.0,492.0,,230.0,499.99,,,499.99,,488.5,,,,,,,93.56,519.99,,499.99,,,,,,549.99,,526.66,474.99,450.0
Radeon RX 7900 XTX,,,,,,,,,,,,,,,805.99,,677.74,,843.49,699.99,825.6,,201.0,,,,,,760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899.99,,849.99,,,776.33,695.0,542.4,712.25,829.48,774.67,772.9,,650.0,690.75,724.0,660.0,735.16,808.74,750.0,816.62,776.4,704.65,726.66,800.0,705.44,789.8,700.0,822.5,708.75,,,814.33,612.99,781.12,825.0,767.47,771.67,760.99,749.0,808.75,607.6,745.82,709.5,499.0,641.33,,617.0,800.0,799.0,628.75,749.99,624.0,762.5,740.0,775.0,600.41,642.5,630.0,785.33,599.0,775.33,600.0,760.0,605.83,655.93,703.33,772.25,593.0,794.73,797.5,705.71,793.0,809.0,811.67,840.0,792.0,648.0,720.0,775.0,717.6,752.83,491.25,774.0,666.84,740.0,750.0,,746.0,,721.5
Radeon RX 7900 XT,,,,,563.99,,,,,,,,,,553.97,,517.6,,724.02,485.0,569.73,660.99,,,,,,,,,,,,,,,,,,,738.9,,,,,,,,,,,,,,,,,,,,,,,,595.0,600.0,599.0,607.5,,585.99,623.71,660.0,630.0,521.59,599.99,495.0,567.5,660.25,545.0,622.5,600.0,593.88,,649.5,651.25,692.5,623.31,653.33,600.0,,433.0,619.99,629.99,,,597.0,589.99,333.0,614.33,570.0,599.5,644.99,600.0,570.0,598.33,566.66,649.99,483.33,570.0,495.0,499.32,570.0,,569.5,318.0,399.0,507.4,,422.5,583.33,589.98,,425.62,579.33,300.0,570.0,640.0,,625.0,525.67,600.0,,597.33,,690.0,586.67,607.49,,,599.0,605.0,551.33,,550.0,,,,495.0,649.99,625.0
Radeon RX 6950 XT,,,,,,,,,,,,,,479.99,,,,,,519.99,,487.24,449.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.0,,,474.5,490.0,451.33,249.99,479.99,423.5,769.99,,247.23,502.0,219.97,,,510.0,,,,399.0,549.99,422.0,,489.5,199.0,,463.33,,427.0,449.99,466.66,471.5,,460.0,453.33,259.0,,410.0,,374.25,472.5,,,401.25,400.0,347.98,447.48,475.0,,447.35,502.49,,399.0,,529.99,525.0,431.21,,,450.0,539.99,525.0,525.0,405.0,450.0,336.25,,422.33,389.5,409.0,450.0,,,482.0,,504.99,,524.99,427.0,,,,
Radeon RX 6900 XT,,,,,,,,,,,,,,,600.0,519.99,464.62,,402.82,506.66,296.63,275.5,398.0,,,,,,,,,,,,,,,,,,,,,,,,,212.99,,,,,,,,,,,,,,,,,448.16,422.56,423.5,335.33,425.0,391.23,453.5,289.5,367.5,499.99,411.33,440.99,482.5,420.0,338.5,258.68,405.0,398.33,343.56,408.33,325.48,437.1,483.05,452.4,462.07,,426.75,370.0,297.87,431.97,399.0,526.66,321.75,420.89,355.0,,408.62,424.5,,342.44,437.38,449.5,95.87,,377.5,389.0,377.0,407.5,349.74,439.06,,433.67,,324.0,467.17,394.32,341.38,425.0,428.07,477.5,405.8,360.0,434.67,333.33,470.0,397.4,432.5,487.5,,400.0,257.25,494.67,373.33,,457.0,390.0,449.0,339.2,401.0,380.91,334.9,461.67,,328.66,,418.32
Radeon RX 6800 XT,,,,,,,,,,,,,,,349.5,,390.12,,375.48,312.87,286.61,347.17,380.0,,,,,,,,,,,,,,,,,,,,,,,,380.0,,,449.0,419.99,405.69,,,,,,,,,,419.99,419.99,,325.75,358.32,340.0,360.84,325.2,,389.0,367.5,363.33,240.0,382.25,346.25,423.84,318.5,281.1,255.53,389.4,365.0,312.67,354.5,248.2,374.83,390.44,359.07,,,357.5,366.25,,323.3,339.98,321.25,383.34,392.0,370.66,379.0,,388.5,354.3,414.98,325.0,275.83,295.0,372.6,330.0,372.79,408.32,185.0,361.33,351.57,120.0,340.0,290.6,323.33,317.0,296.75,374.42,398.99,318.75,365.0,369.69,338.33,353.19,361.39,383.25,406.8,309.33,370.0,305.59,365.67,388.77,278.75,350.0,348.6,340.6,334.99,371.33,330.64,391.14,313.0,349.99,372.5,,368.33,232.5,301.12
